date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:31%20GMT	https://www.swingvy.com/blog-sg/key-singapore-tax-due-dates	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/key-singapore-tax-due-dates.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:31%20GMT	https://www.swingvy.com/blog-sg/swingvy-partner-with-fozl-group	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/swingvy-partner-with-fozl-group.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:31%20GMT	https://www.swingvy.com/blog-sg/swingvy-hr-platform-is-psg-approved	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/swingvy-hr-platform-is-psg-approved.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:13	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:33%20GMT	https://www.swingvy.com/blog-sg/accessing-the-digital-resilience-bonus	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/accessing-the-digital-resilience-bonus.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:52	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:13%20GMT	https://www.swingvy.com/blog-sg/tips-for-successful-remote-onboarding	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/tips-for-successful-remote-onboarding.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:52	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:13%20GMT	https://www.swingvy.com/blog-sg/what-singapore-workers-really-want	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/what-singapore-workers-really-want.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:52	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:13%20GMT	https://www.swingvy.com/blog-sg/tech-for-growth-palsgaard-asia-pacific	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/tech-for-growth-palsgaard-asia-pacific.html	(from https://www.swingvy.com/sg/resources/blog)
12:59:56	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:15%20GMT	https://www.swingvy.com/blog-sg/plan-your-holidays-2021	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/plan-your-holidays-2021.html	(from https://www.swingvy.com/sg/resources/blog)
13:00:38	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:56%20GMT	https://www.swingvy.com/blog-sg/cost-cutting-strategies-for-employee-benefits	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/cost-cutting-strategies-for-employee-benefits.html	(from https://www.swingvy.com/sg/resources/blog)
13:00:38	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:56%20GMT	https://www.swingvy.com/blog-sg/national-service-make-up-pay	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/national-service-make-up-pay.html	(from https://www.swingvy.com/sg/resources/blog)
13:00:38	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:59:56%20GMT	https://www.swingvy.com/blog-sg/engaging-remote-teams-as-the-world-of-work-evolves	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/engaging-remote-teams-as-the-world-of-work-evolves.html	(from https://www.swingvy.com/sg/resources/blog)
13:00:40	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:00:00%20GMT	https://www.swingvy.com/blog-sg/meet-that-marketing-guy	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/meet-that-marketing-guy.html	(from https://www.swingvy.com/sg/resources/blog)
13:01:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:00:40%20GMT	https://www.swingvy.com/blog-sg/compulsory-long-term-healthcare-kicks-in-for-singapore	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/compulsory-long-term-healthcare-kicks-in-for-singapore.html	(from https://www.swingvy.com/sg/resources/blog)
13:01:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:00:40%20GMT	https://www.swingvy.com/blog-sg/what-to-look-for-when-choosing-an-hr-management-system	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/what-to-look-for-when-choosing-an-hr-management-system.html	(from https://www.swingvy.com/sg/resources/blog)
13:01:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:00:40%20GMT	https://www.swingvy.com/blog-sg/retaining-an-agile-mindset-and-culture-while-remote	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/retaining-an-agile-mindset-and-culture-while-remote.html	(from https://www.swingvy.com/sg/resources/blog)
13:01:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:00:42%20GMT	https://www.swingvy.com/blog-sg/government-incentives-for-covid-19-sg	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/government-incentives-for-covid-19-sg.html	(from https://www.swingvy.com/sg/resources/blog)
13:01:20	73202/73202	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2013:01:21%20GMT	https://www.swingvy.com/blog-categories-sg/management	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-categories-sg/management.html	(from https://www.swingvy.com/blog-sg/webinar-covid-19-phase-2-how-do-employers-prepare)
13:02:01	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:01:21%20GMT	https://www.swingvy.com/customer-stories-sg/how-oxwhite-uses-swingvy-to-manage-team-and-scale-up-quicky	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/how-oxwhite-uses-swingvy-to-manage-team-and-scale-up-quicky.html	(from https://www.swingvy.com/sg/customers)
13:02:02	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:01:22%20GMT	https://www.swingvy.com/blog-sg/how-smes-can-manage-work-from-home-with-swingvy	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/how-smes-can-manage-work-from-home-with-swingvy.html	(from https://www.swingvy.com/sg/resources/blog)
13:02:02	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:01:22%20GMT	https://www.swingvy.com/sg/company/about-us	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/sg/company/about-us.html	(from https://www.swingvy.com/)
13:02:02	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:01:22%20GMT	https://www.swingvy.com/customer-stories-sg/that-marketing-guy	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/that-marketing-guy.html	(from https://www.swingvy.com/sg/customers)
18:32:44	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:02:02%20GMT	https://www.swingvy.com/customer-stories-sg/tour-mount-bromo	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/tour-mount-bromo.html	(from https://www.swingvy.com/sg/customers)
18:32:45	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:02:06%20GMT	https://www.swingvy.com/customer-stories-sg/my-nonnas	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/my-nonnas.html	(from https://www.swingvy.com/sg/customers)
18:32:45	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:02:06%20GMT	https://www.swingvy.com/customer-stories-sg/multiverz	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/multiverz.html	(from https://www.swingvy.com/sg/customers)
18:32:45	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:02:06%20GMT	https://www.swingvy.com/customer-stories-sg/palsgaard	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/customer-stories-sg/palsgaard.html	(from https://www.swingvy.com/sg/customers)
18:33:24	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2013:02:45%20GMT	https://www.swingvy.com/sg/company/GET	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/sg/company/GET.html	(from https://www.swingvy.com/sg/company/careers)
